communities,branches_of_activity,magnitude,year,total_gdp
andalucia,producto interior bruto a precios de mercado,valor,2020,150556999
andalucia,producto interior bruto a precios de mercado,valor,2019,165000524
andalucia,producto interior bruto a precios de mercado,valor,2018,160580547
andalucia,producto interior bruto a precios de mercado,valor,2017,155371755
andalucia,producto interior bruto a precios de mercado,valor,2016,148405362
aragon,producto interior bruto a precios de mercado,valor,2020,35289952
aragon,producto interior bruto a precios de mercado,valor,2019,38084387
aragon,producto interior bruto a precios de mercado,valor,2018,36868560
aragon,producto interior bruto a precios de mercado,valor,2017,35638352
aragon,producto interior bruto a precios de mercado,valor,2016,34214691
asturias,producto interior bruto a precios de mercado,valor,2020,21474791
asturias,producto interior bruto a precios de mercado,valor,2019,23705903
asturias,producto interior bruto a precios de mercado,valor,2018,23224857
asturias,producto interior bruto a precios de mercado,valor,2017,22592548
asturias,producto interior bruto a precios de mercado,valor,2016,21694246
baleares,producto interior bruto a precios de mercado,valor,2020,26789155
baleares,producto interior bruto a precios de mercado,valor,2019,34172158
baleares,producto interior bruto a precios de mercado,valor,2018,32740955
baleares,producto interior bruto a precios de mercado,valor,2017,31383376
baleares,producto interior bruto a precios de mercado,valor,2016,29831313
canarias,producto interior bruto a precios de mercado,valor,2020,39162597
canarias,producto interior bruto a precios de mercado,valor,2019,47483461
canarias,producto interior bruto a precios de mercado,valor,2018,45830435
canarias,producto interior bruto a precios de mercado,valor,2017,44205400
canarias,producto interior bruto a precios de mercado,valor,2016,42013704
cantabria,producto interior bruto a precios de mercado,valor,2020,12866634
cantabria,producto interior bruto a precios de mercado,valor,2019,14168880
cantabria,producto interior bruto a precios de mercado,valor,2018,13743179
cantabria,producto interior bruto a precios de mercado,valor,2017,13226038
cantabria,producto interior bruto a precios de mercado,valor,2016,12736089
castilla_y_leon,producto interior bruto a precios de mercado,valor,2020,55401268
castilla_y_leon,producto interior bruto a precios de mercado,valor,2019,59852213
castilla_y_leon,producto interior bruto a precios de mercado,valor,2018,58544593
castilla_y_leon,producto interior bruto a precios de mercado,valor,2017,56051831
castilla_y_leon,producto interior bruto a precios de mercado,valor,2016,54767172
castilla_la_mancha,producto interior bruto a precios de mercado,valor,2020,39572837
castilla_la_mancha,producto interior bruto a precios de mercado,valor,2019,42489519
castilla_la_mancha,producto interior bruto a precios de mercado,valor,2018,41479349
castilla_la_mancha,producto interior bruto a precios de mercado,valor,2017,39891219
castilla_la_mancha,producto interior bruto a precios de mercado,valor,2016,38315029
catalunia,producto interior bruto a precios de mercado,valor,2020,212931347
catalunia,producto interior bruto a precios de mercado,valor,2019,237504612
catalunia,producto interior bruto a precios de mercado,valor,2018,229098023
catalunia,producto interior bruto a precios de mercado,valor,2017,221476488
catalunia,producto interior bruto a precios de mercado,valor,2016,212703912
valencia,producto interior bruto a precios de mercado,valor,2020,104724101
valencia,producto interior bruto a precios de mercado,valor,2019,115407021
valencia,producto interior bruto a precios de mercado,valor,2018,111741700
valencia,producto interior bruto a precios de mercado,valor,2017,107785815
valencia,producto interior bruto a precios de mercado,valor,2016,103228580
extremadura,producto interior bruto a precios de mercado,valor,2020,19385729
extremadura,producto interior bruto a precios de mercado,valor,2019,20516661
extremadura,producto interior bruto a precios de mercado,valor,2018,20090192
extremadura,producto interior bruto a precios de mercado,valor,2017,19534814
extremadura,producto interior bruto a precios de mercado,valor,2016,18504343
galicia,producto interior bruto a precios de mercado,valor,2020,59105226
galicia,producto interior bruto a precios de mercado,valor,2019,64348888
galicia,producto interior bruto a precios de mercado,valor,2018,62427620
galicia,producto interior bruto a precios de mercado,valor,2017,60394810
galicia,producto interior bruto a precios de mercado,valor,2016,58279948
madrid,producto interior bruto a precios de mercado,valor,2020,216527407
madrid,producto interior bruto a precios de mercado,valor,2019,241039907
madrid,producto interior bruto a precios de mercado,valor,2018,230812763
madrid,producto interior bruto a precios de mercado,valor,2017,222027547
madrid,producto interior bruto a precios de mercado,valor,2016,211672686
murcia,producto interior bruto a precios de mercado,valor,2020,29939714
murcia,producto interior bruto a precios de mercado,valor,2019,32287218
murcia,producto interior bruto a precios de mercado,valor,2018,31094338
murcia,producto interior bruto a precios de mercado,valor,2017,30538493
murcia,producto interior bruto a precios de mercado,valor,2016,29369879
navarra,producto interior bruto a precios de mercado,valor,2020,19265047
navarra,producto interior bruto a precios de mercado,valor,2019,20901372
navarra,producto interior bruto a precios de mercado,valor,2018,20064721
navarra,producto interior bruto a precios de mercado,valor,2017,19528873
navarra,producto interior bruto a precios de mercado,valor,2016,18747249
pais_vasco,producto interior bruto a precios de mercado,valor,2020,66558211
pais_vasco,producto interior bruto a precios de mercado,valor,2019,74050747
pais_vasco,producto interior bruto a precios de mercado,valor,2018,71924979
pais_vasco,producto interior bruto a precios de mercado,valor,2017,69657915
pais_vasco,producto interior bruto a precios de mercado,valor,2016,67126912
la_rioja,producto interior bruto a precios de mercado,valor,2020,8128883
la_rioja,producto interior bruto a precios de mercado,valor,2019,8844458
la_rioja,producto interior bruto a precios de mercado,valor,2018,8602348
la_rioja,producto interior bruto a precios de mercado,valor,2017,8295191
la_rioja,producto interior bruto a precios de mercado,valor,2016,8014694
ceuta,producto interior bruto a precios de mercado,valor,2020,1642136
ceuta,producto interior bruto a precios de mercado,valor,2019,1770462
ceuta,producto interior bruto a precios de mercado,valor,2018,1720339
ceuta,producto interior bruto a precios de mercado,valor,2017,1659859
ceuta,producto interior bruto a precios de mercado,valor,2016,1636511
melilla,producto interior bruto a precios de mercado,valor,2020,1508520
melilla,producto interior bruto a precios de mercado,valor,2019,1622451
melilla,producto interior bruto a precios de mercado,valor,2018,1577826
melilla,producto interior bruto a precios de mercado,valor,2017,1519867
melilla,producto interior bruto a precios de mercado,valor,2016,1506101
